Product ID,Order created,Rental start,Rental end,Vendor ID,Customer ID
100001275,2005-08-15 12:02:46.5170000,2005-08-14 22:00:00.0000000,2005-08-15 21:59:59.0000000,39,36983
100001275,2005-08-30 12:56:01.0000000,2005-08-30 22:00:00.0000000,2005-08-31 21:59:59.0000000,39,28329
100001275,2005-11-05 09:32:17.1400000,2005-11-06 23:00:00.0000000,2005-11-07 22:59:59.0000000,39,29175
100001275,2006-06-22 13:34:41.2670000,2006-06-25 22:00:00.0000000,2006-06-26 21:59:59.0000000,39,83914
100001275,2006-09-19 08:45:33.0470000,2006-09-22 22:00:00.0000000,2006-09-23 21:59:59.0000000,39,28071
100001275,2007-06-21 05:41:47.4830000,2007-06-21 22:00:00.0000000,2007-06-22 21:59:59.0000000,39,28329
100001275,2009-04-25 06:32:14.0770000,2009-04-24 22:00:00.0000000,2009-04-25 21:59:59.0000000,39,27890
100001275,2009-04-25 06:32:14.0770000,2009-04-24 22:00:00.0000000,2009-04-25 21:59:59.0000000,39,27890
100001275,2009-04-28 11:34:22.2200000,2009-05-03 22:00:00.0000000,2009-05-06 21:59:59.0000000,79,98167
100001275,2009-04-28 11:34:22.2200000,2009-05-03 22:00:00.0000000,2009-05-06 21:59:59.0000000,79,98167
100001275,2009-04-28 11:34:22.2200000,2009-05-03 22:00:00.0000000,2009-05-06 21:59:59.0000000,79,98167
100001275,2005-06-20 13:11:43.2030000,2005-06-19 22:00:00.0000000,2005-06-21 21:59:59.0000000,39,34918
100001275,2005-07-02 08:42:29.0170000,2005-07-01 22:00:00.0000000,2005-07-02 21:59:59.0000000,39,35371
100001275,2005-07-05 07:19:51.0470000,2005-07-04 22:00:00.0000000,2005-07-05 21:59:59.0000000,39,28745
100001275,2005-07-05 07:19:51.0470000,2005-07-04 22:00:00.0000000,2005-07-05 21:59:59.0000000,39,28745
100001275,2005-07-09 09:26:41.0300000,2005-07-05 22:00:00.0000000,2005-07-07 21:59:59.0000000,39,29174
100001275,2005-07-21 14:00:40.3130000,2005-07-27 22:00:00.0000000,2005-07-28 21:59:59.0000000,39,36117
100001275,2005-08-14 15:27:41.6270000,2005-08-12 22:00:00.0000000,2005-08-14 21:59:59.0000000,39,28218
100001275,2005-08-19 11:19:02.1570000,2005-09-17 22:00:00.0000000,2005-09-18 21:59:59.0000000,39,37139
100001275,2005-08-19 12:15:54.4230000,2005-08-18 22:00:00.0000000,2005-08-20 21:59:59.0000000,39,28834
100001275,2005-08-17 14:39:52.2500000,2005-08-16 22:00:00.0000000,2005-08-17 21:59:59.0000000,39,37062
100001275,2005-08-31 13:21:08.8130000,2005-08-30 22:00:00.0000000,2005-09-01 21:59:59.0000000,39,28329
100001275,2005-09-20 04:20:58.7970000,2005-09-19 22:00:00.0000000,2005-09-20 21:59:59.0000000,39,51522
100001275,2005-09-29 13:19:41.4070000,2005-09-30 22:00:00.0000000,2005-10-01 21:59:59.0000000,39,28162
100001275,2005-11-08 12:35:34.9700000,2005-11-08 23:00:00.0000000,2005-11-18 22:59:59.0000000,39,29175
100001275,2005-11-09 08:21:13.0930000,2005-11-10 23:00:00.0000000,2005-11-11 22:59:59.0000000,39,29224
