,Product ID,Order created,Rental start,Rental end,Vendor ID,Customer ID,duration,prod_class
0,100001093,2008-06-09 08:29:14.4530000,2008-06-08 22:00:00,2008-06-09 21:59:59,43,165137,0.999988425925926,aerator
1,100001093,2008-05-17 10:49:31.3270000,2008-05-16 22:00:00,2008-05-17 21:59:59,43,64659,0.999988425925926,aerator
2,100001093,2008-05-15 08:38:37.6100000,2008-05-14 22:00:00,2008-05-15 21:59:59,43,162629,0.999988425925926,aerator
3,100001093,2008-04-07 06:34:40.9830000,2008-04-06 22:00:00,2008-04-07 21:59:59,43,64482,0.999988425925926,aerator
4,100001093,2008-04-08 14:19:58.5930000,2008-04-08 22:00:00,2008-04-09 21:59:59,43,158672,0.999988425925926,aerator
5,100001093,2008-04-07 13:09:07.0630000,2008-04-06 22:00:00,2008-04-07 21:59:59,43,100902,0.999988425925926,aerator
6,100001093,2008-04-11 10:41:27.0300000,2008-04-11 22:00:00,2008-04-12 21:59:59,43,64858,0.999988425925926,aerator
7,100001093,2008-04-11 11:46:10.7500000,2008-04-13 22:00:00,2008-04-14 21:59:59,43,156798,0.999988425925926,aerator
8,100001093,2008-04-14 14:18:38.4370000,2008-04-15 22:00:00,2008-04-16 21:59:59,43,100527,0.999988425925926,aerator
9,100001093,2007-05-08 14:04:18.6570000,2007-05-08 22:00:00,2007-05-09 21:59:59,43,64570,0.999988425925926,aerator
10,100001093,2007-05-18 12:41:00.2800000,2007-05-17 22:00:00,2007-05-18 21:59:59,43,85825,0.999988425925926,aerator
11,100001093,2007-05-19 08:46:21.1570000,2007-05-18 22:00:00,2007-05-19 21:59:59,43,64659,0.999988425925926,aerator
12,100001093,2007-04-27 08:06:17.9370000,2007-04-27 22:00:00,2007-04-28 21:59:59,43,101612,0.999988425925926,aerator
13,100001093,2007-04-30 10:57:38.3900000,2007-04-29 22:00:00,2007-04-30 21:59:59,43,64483,0.999988425925926,aerator
14,100001093,2007-07-23 10:09:28.2330000,2007-07-22 22:00:00,2007-07-23 21:59:59,43,108457,0.999988425925926,aerator
15,100001093,2007-10-08 10:29:15.3270000,2007-10-07 22:00:00,2007-10-08 21:59:59,43,113619,0.999988425925926,aerator
16,100001093,2008-04-01 07:43:35.9230000,2008-04-10 22:00:00,2008-04-11 21:59:59,43,122901,0.999988425925926,aerator
17,100001093,2008-04-02 14:46:21.0930000,2008-04-04 22:00:00,2008-04-05 21:59:59,43,64514,0.999988425925926,aerator
