,Product ID,Order created,Vendor ID,Customer ID,rental_start,rental_end
0,100001093,2008-06-09 08:29:14.4530000,43,165137,2008-06-08,2008-06-09
1,100001093,2008-05-17 10:49:31.3270000,43,64659,2008-05-16,2008-05-17
2,100001093,2008-05-15 08:38:37.6100000,43,162629,2008-05-14,2008-05-15
3,100001093,2008-04-07 06:34:40.9830000,43,64482,2008-04-06,2008-04-07
4,100001093,2008-04-08 14:19:58.5930000,43,158672,2008-04-08,2008-04-09
5,100001093,2008-04-07 13:09:07.0630000,43,100902,2008-04-06,2008-04-07
6,100001093,2008-04-11 10:41:27.0300000,43,64858,2008-04-11,2008-04-12
7,100001093,2008-04-11 11:46:10.7500000,43,156798,2008-04-13,2008-04-14
8,100001093,2008-04-14 14:18:38.4370000,43,100527,2008-04-15,2008-04-16
9,100001093,2007-05-08 14:04:18.6570000,43,64570,2007-05-08,2007-05-09
10,100001093,2007-05-18 12:41:00.2800000,43,85825,2007-05-17,2007-05-18
11,100001093,2007-05-19 08:46:21.1570000,43,64659,2007-05-18,2007-05-19
12,100001093,2007-04-27 08:06:17.9370000,43,101612,2007-04-27,2007-04-28
13,100001093,2007-04-30 10:57:38.3900000,43,64483,2007-04-29,2007-04-30
14,100001093,2007-07-23 10:09:28.2330000,43,108457,2007-07-22,2007-07-23
15,100001093,2007-10-08 10:29:15.3270000,43,113619,2007-10-07,2007-10-08
16,100001093,2008-04-01 07:43:35.9230000,43,122901,2008-04-10,2008-04-11
17,100001093,2008-04-02 14:46:21.0930000,43,64514,2008-04-04,2008-04-05
18,100001093,2007-04-20 11:32:47.3270000,43,64566,2007-04-19,2007-04-20
19,100001093,2007-04-11 13:17:59.5170000,43,87837,2007-04-11,2007-04-12
20,100001093,2007-04-10 14:35:16.6870000,43,100138,2007-04-09,2007-04-10
21,100001093,2007-04-13 07:02:42.5770000,43,99697,2007-04-12,2007-04-13
22,100001093,2007-04-04 10:16:42.5770000,43,64548,2007-04-06,2007-04-07
23,100001093,2007-04-04 07:09:14.9530000,43,64450,2007-04-03,2007-04-04
24,100001093,2007-04-02 06:17:06.6100000,43,99346,2007-04-02,2007-04-03
25,100001093,2007-03-30 13:29:03.7330000,43,64497,2007-03-29,2007-03-30
26,100001093,2007-03-28 12:19:53.2030000,43,98999,2007-03-27,2007-03-28
27,100001093,2007-03-27 14:58:50.6270000,43,98926,2007-03-30,2007-03-31
28,100001093,2007-03-23 15:51:33.9700000,43,98642,2007-03-25,2007-03-26
29,100001093,2007-03-24 10:40:19.7330000,43,98699,2007-04-01,2007-04-02
30,100001093,2006-09-09 07:53:53.9230000,43,64659,2006-09-08,2006-09-09
31,100001093,2006-10-14 08:33:59.9370000,43,91752,2006-10-13,2006-10-14
32,100001093,2006-10-17 07:37:14.3130000,43,91905,2006-10-17,2006-10-18
33,100001093,2006-08-03 08:29:45.2970000,43,87169,2006-08-02,2006-08-03
34,100001093,2006-08-17 09:56:20.2500000,43,64377,2006-08-16,2006-08-17
35,100001093,2006-05-08 14:57:56.1730000,43,80536,2006-05-09,2006-05-10
36,100001093,2006-05-09 13:35:43.5770000,43,78785,2006-05-10,2006-05-12
37,100001093,2006-05-08 12:18:54.1730000,43,80505,2006-05-12,2006-05-13
38,100001093,2006-05-04 08:28:38.9370000,43,64539,2006-05-08,2006-05-09
39,100001093,2006-04-29 10:50:47.7500000,43,64803,2006-04-28,2006-04-29
40,100001093,2006-04-30 14:10:38.1270000,43,64499,2006-04-30,2006-05-01
41,100001093,2006-04-24 13:13:12.3770000,43,79139,2006-04-24,2006-04-25
42,100001093,2006-04-26 14:50:37.8270000,43,79383,2006-04-25,2006-04-26
43,100001093,2006-04-24 06:36:36.2670000,43,64482,2006-04-23,2006-04-24
44,100001093,2006-04-22 09:24:21.7800000,43,64548,2006-04-24,2006-04-25
45,100001093,2006-04-21 13:58:06.1870000,43,78909,2006-04-27,2006-04-28
46,100001093,2006-04-20 08:14:41.2500000,43,78733,2006-04-21,2006-04-23
47,100001093,2006-04-20 11:22:26.7800000,43,78769,2006-04-21,2006-04-22
48,100001093,2006-04-18 07:15:27.8900000,43,64450,2006-04-20,2006-04-21
49,100001093,2006-04-18 07:47:13.7330000,43,77514,2006-04-17,2006-04-18
50,100001093,2006-04-10 14:32:00.0000000,43,64551,2006-04-10,2006-04-11
51,100001093,2006-04-10 14:53:58.9230000,43,64390,2006-04-09,2006-04-10
52,100001093,2006-04-11 10:12:54.5300000,43,64073,2006-04-10,2006-04-11
53,100001093,2006-04-11 10:38:37.4700000,43,64073,2006-04-10,2006-04-11
54,100001093,2006-04-04 14:26:36.2800000,43,77479,2006-04-06,2006-04-07
55,100001093,2006-04-07 14:23:55.3600000,43,77737,2006-04-14,2006-04-15
